cliente_id,segmento,churn_prob,churn_real,explicacao
CLI00701,Alta Renda,0.7905,1,"Risco de Churn: [ALTO] (79.0%)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+1.2435)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+1.1506)
  • Quantidade de produtos contratados: [+] AUMENTA risco (SHAP=+0.5605)"
CLI00840,Alta Renda,0.7884,1,"Risco de Churn: [ALTO] (78.8%)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+1.9407)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+1.4937)
  • Retorno da carteira nos últimos 12 meses: [+] AUMENTA risco (SHAP=+0.2450)"
CLI00756,Private,0.788,1,"Risco de Churn: [ALTO] (78.8%)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+1.5683)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+1.2766)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+0.5032)"
CLI00102,Alta Renda,0.7833,1,"Risco de Churn: [ALTO] (78.3%)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+2.6035)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+1.5406)
  • AuC total sob custódia (R$ milhões): [+] AUMENTA risco (SHAP=+0.4466)"
CLI00275,Private,0.7826,1,"Risco de Churn: [ALTO] (78.3%)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+3.9966)
  • Tempo como cliente (meses): [+] AUMENTA risco (SHAP=+0.1833)
  • AuC total sob custódia (R$ milhões): [-] REDUZ risco (SHAP=-0.1669)"
CLI00561,Alta Renda,0.77,1,"Risco de Churn: [ALTO] (77.0%)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+1.6709)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+1.1634)
  • AuC total sob custódia (R$ milhões): [+] AUMENTA risco (SHAP=+0.4284)"
CLI00101,Private,0.7666,1,"Risco de Churn: [ALTO] (76.7%)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+2.5056)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+1.2262)
  • AuC total sob custódia (R$ milhões): [+] AUMENTA risco (SHAP=+0.5153)"
CLI00878,Alta Renda,0.7655,1,"Risco de Churn: [ALTO] (76.5%)
  • Score de engajamento do cliente: [+] AUMENTA risco (SHAP=+1.7484)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+1.5975)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+0.5702)"
CLI00796,Wealth,0.763,1,"Risco de Churn: [ALTO] (76.3%)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+4.0591)
  • Tempo como cliente (meses): [+] AUMENTA risco (SHAP=+0.2115)
  • Score de engajamento do cliente: [-] REDUZ risco (SHAP=-0.1924)"
CLI00595,Private,0.7624,1,"Risco de Churn: [ALTO] (76.2%)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+1.7262)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+0.7241)
  • Retorno da carteira nos últimos 12 meses: [+] AUMENTA risco (SHAP=+0.5213)"
CLI00300,Alta Renda,0.7622,1,"Risco de Churn: [ALTO] (76.2%)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+1.9396)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+1.2699)
  • AuC total sob custódia (R$ milhões): [+] AUMENTA risco (SHAP=+0.2862)"
CLI01034,Alta Renda,0.7606,1,"Risco de Churn: [ALTO] (76.1%)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+1.7492)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+1.4527)
  • AuC total sob custódia (R$ milhões): [+] AUMENTA risco (SHAP=+1.0977)"
CLI00666,Alta Renda,0.7574,1,"Risco de Churn: [ALTO] (75.7%)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+2.0918)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+0.6696)
  • AuC total sob custódia (R$ milhões): [+] AUMENTA risco (SHAP=+0.5219)"
CLI00331,Private,0.7559,1,"Risco de Churn: [ALTO] (75.6%)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+2.2249)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+1.2725)
  • Intensidade relativa de movimentação: [+] AUMENTA risco (SHAP=+0.3633)"
CLI00421,Private,0.7556,1,"Risco de Churn: [ALTO] (75.6%)
  • Tempo como cliente (meses): [+] AUMENTA risco (SHAP=+2.7716)
  • Quantidade de produtos contratados: [+] AUMENTA risco (SHAP=+0.4141)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+0.3888)"
CLI00019,Alta Renda,0.7483,1,"Risco de Churn: [ALTO] (74.8%)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+1.1935)
  • AuC total sob custódia (R$ milhões): [+] AUMENTA risco (SHAP=+0.8632)
  • Quantidade de produtos contratados: [+] AUMENTA risco (SHAP=+0.4947)"
CLI00832,Alta Renda,0.7459,1,"Risco de Churn: [ALTO] (74.6%)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+1.2721)
  • AuC total sob custódia (R$ milhões): [+] AUMENTA risco (SHAP=+1.1016)
  • Intensidade relativa de movimentação: [+] AUMENTA risco (SHAP=+0.7382)"
CLI00777,Private,0.7441,1,"Risco de Churn: [ALTO] (74.4%)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+1.7368)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+1.1731)
  • Retorno da carteira nos últimos 12 meses: [+] AUMENTA risco (SHAP=+0.4471)"
CLI00957,Alta Renda,0.7401,1,"Risco de Churn: [ALTO] (74.0%)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+1.7293)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+0.5962)
  • AuC total sob custódia (R$ milhões): [+] AUMENTA risco (SHAP=+0.5279)"
CLI00663,Alta Renda,0.7398,1,"Risco de Churn: [ALTO] (74.0%)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+1.7341)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+0.8369)
  • AuC total sob custódia (R$ milhões): [+] AUMENTA risco (SHAP=+0.7020)"
CLI01108,Private,0.7391,1,"Risco de Churn: [ALTO] (73.9%)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+1.1388)
  • AuC total sob custódia (R$ milhões): [+] AUMENTA risco (SHAP=+0.9642)
  • Tempo como cliente (meses): [+] AUMENTA risco (SHAP=+0.4647)"
CLI00576,Alta Renda,0.7357,1,"Risco de Churn: [ALTO] (73.6%)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+2.1531)
  • Quantidade de produtos contratados: [+] AUMENTA risco (SHAP=+0.7451)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+0.5209)"
CLI00168,Alta Renda,0.733,1,"Risco de Churn: [ALTO] (73.3%)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+1.7274)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+1.6440)
  • AuC total sob custódia (R$ milhões): [+] AUMENTA risco (SHAP=+0.5404)"
CLI00641,Alta Renda,0.7287,1,"Risco de Churn: [ALTO] (72.9%)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+1.6676)
  • AuC total sob custódia (R$ milhões): [+] AUMENTA risco (SHAP=+0.7675)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+0.5209)"
CLI00968,Private,0.7194,1,"Risco de Churn: [ALTO] (71.9%)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+1.4658)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+1.1732)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+0.9290)"
CLI00578,Private,0.7188,1,"Risco de Churn: [ALTO] (71.9%)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+1.4290)
  • AuC total sob custódia (R$ milhões): [+] AUMENTA risco (SHAP=+0.7823)
  • Intensidade relativa de movimentação: [+] AUMENTA risco (SHAP=+0.5570)"
CLI00144,Alta Renda,0.7156,1,"Risco de Churn: [ALTO] (71.6%)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+1.5268)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+1.2606)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+0.4097)"
CLI00769,Private,0.6991,1,"Risco de Churn: [ALTO] (69.9%)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+1.4649)
  • Retorno da carteira nos últimos 12 meses: [+] AUMENTA risco (SHAP=+0.7348)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+0.4561)"
CLI00887,Alta Renda,0.6978,1,"Risco de Churn: [ALTO] (69.8%)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+1.7615)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+1.1823)
  • AuC total sob custódia (R$ milhões): [+] AUMENTA risco (SHAP=+0.5245)"
CLI01137,Private,0.6932,1,"Risco de Churn: [ALTO] (69.3%)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+1.8560)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+1.5620)
  • AuC total sob custódia (R$ milhões): [+] AUMENTA risco (SHAP=+0.3301)"
CLI00802,Private,0.6919,1,"Risco de Churn: [ALTO] (69.2%)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+1.3840)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+1.1748)
  • AuC total sob custódia (R$ milhões): [+] AUMENTA risco (SHAP=+0.6109)"
CLI00981,Private,0.6805,1,"Risco de Churn: [ALTO] (68.0%)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+2.0624)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+1.3658)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+0.3125)"
CLI00450,Private,0.6789,1,"Risco de Churn: [ALTO] (67.9%)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+1.4862)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+1.1068)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+0.6072)"
CLI00006,Alta Renda,0.6761,1,"Risco de Churn: [ALTO] (67.6%)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+2.9832)
  • Score de engajamento do cliente: [+] AUMENTA risco (SHAP=+0.3592)
  • Tempo como cliente (meses): [+] AUMENTA risco (SHAP=+0.1687)"
CLI00010,Alta Renda,0.6698,1,"Risco de Churn: [ALTO] (67.0%)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+1.3772)
  • Tempo como cliente (meses): [+] AUMENTA risco (SHAP=+0.6142)
  • Intensidade relativa de movimentação: [+] AUMENTA risco (SHAP=+0.5323)"
CLI00279,Private,0.6625,1,"Risco de Churn: [ALTO] (66.2%)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+1.4753)
  • AuC total sob custódia (R$ milhões): [+] AUMENTA risco (SHAP=+0.8724)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+0.4778)"
CLI00360,Alta Renda,0.6607,1,"Risco de Churn: [ALTO] (66.1%)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+3.5592)
  • Dias desde o último contato com o assessor: [-] REDUZ risco (SHAP=-0.4761)
  • AuC total sob custódia (R$ milhões): [+] AUMENTA risco (SHAP=+0.3626)"
CLI00562,Alta Renda,0.6557,1,"Risco de Churn: [ALTO] (65.6%)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+1.4034)
  • Retorno relativo ao benchmark de mercado: [+] AUMENTA risco (SHAP=+0.7120)
  • AuC total sob custódia (R$ milhões): [+] AUMENTA risco (SHAP=+0.6532)"
CLI00978,Private,0.653,1,"Risco de Churn: [ALTO] (65.3%)
  • Retorno da carteira nos últimos 12 meses: [+] AUMENTA risco (SHAP=+1.4806)
  • Score de engajamento do cliente: [+] AUMENTA risco (SHAP=+1.0439)
  • Retorno relativo ao benchmark de mercado: [+] AUMENTA risco (SHAP=+0.8409)"
CLI00512,Wealth,0.6475,1,"Risco de Churn: [ALTO] (64.8%)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+1.8477)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+1.3191)
  • Retorno da carteira nos últimos 12 meses: [+] AUMENTA risco (SHAP=+0.4702)"
CLI00459,Alta Renda,0.6466,1,"Risco de Churn: [ALTO] (64.7%)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+1.8374)
  • AuC total sob custódia (R$ milhões): [+] AUMENTA risco (SHAP=+0.7166)
  • Score de engajamento do cliente: [+] AUMENTA risco (SHAP=+0.3595)"
CLI00989,Private,0.6388,1,"Risco de Churn: [ALTO] (63.9%)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+1.8773)
  • Retorno da carteira nos últimos 12 meses: [+] AUMENTA risco (SHAP=+1.0468)
  • Retorno relativo ao benchmark de mercado: [+] AUMENTA risco (SHAP=+0.5746)"
CLI00393,Private,0.6317,1,"Risco de Churn: [ALTO] (63.2%)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+1.4870)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+1.4303)
  • Retorno da carteira nos últimos 12 meses: [+] AUMENTA risco (SHAP=+0.5366)"
CLI00073,Private,0.6158,1,"Risco de Churn: [ALTO] (61.6%)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+1.6941)
  • Intensidade relativa de movimentação: [+] AUMENTA risco (SHAP=+0.5695)
  • Quantidade de produtos contratados: [+] AUMENTA risco (SHAP=+0.4984)"
