assessor_id,canal,anos_de_casa,peso_atracao_carteira,prob_saida_calibrada,risco_saida,qtd_clientes_carteira
ADV0079,Wirehouse,9.2,2.38,0.15,0,2
ADV0080,RIA,23.2,4.48,0.045,0,9
ADV0081,Broker-Dealer,3.5,1.525,0.1276,0,2
ADV0082,Wirehouse,23.6,4.54,0.1125,0,11
ADV0083,Wirehouse,3.4,1.51,0.1725,1,1
ADV0084,Wirehouse,0.7,1.105,0.225,0,4
ADV0085,Wirehouse,4.3,1.645,0.1725,0,4
ADV0086,Broker-Dealer,8.3,2.245,0.111,0,3
ADV0087,Broker-Dealer,20.2,4.03,0.0832,0,8
ADV0088,RIA,3.1,1.465,0.069,0,2
ADV0089,Broker-Dealer,9.2,2.38,0.111,0,3
ADV0090,Wirehouse,2.0,1.3,0.1725,0,0
ADV0091,Broker-Dealer,19.8,3.97,0.0832,1,4
ADV0092,Broker-Dealer,14.0,3.1,0.111,0,4
ADV0093,Broker-Dealer,4.5,1.675,0.1276,0,5
ADV0094,Broker-Dealer,15.4,3.31,0.0832,1,9
ADV0095,Broker-Dealer,6.0,1.9,0.111,0,3
ADV0096,Broker-Dealer,14.4,3.16,0.111,0,2
ADV0097,Broker-Dealer,6.6,1.99,0.111,0,5
ADV0098,Wirehouse,6.8,2.02,0.15,0,4
ADV0099,Wirehouse,4.6,1.69,0.1725,0,5
ADV0100,Wirehouse,10.0,2.5,0.15,0,4
ADV0101,Broker-Dealer,7.1,2.065,0.111,0,5
ADV0102,Wirehouse,9.3,2.395,0.15,0,5
ADV0103,Broker-Dealer,1.6,1.24,0.1665,0,1
ADV0104,RIA,14.7,3.205,0.06,0,9
ADV0105,Wirehouse,17.1,3.565,0.1125,0,5
ADV0106,Broker-Dealer,7.1,2.065,0.111,0,4
ADV0107,Broker-Dealer,22.2,4.33,0.0832,0,11
ADV0108,Wirehouse,19.0,3.85,0.1125,0,6
ADV0109,Wirehouse,10.1,2.515,0.15,0,4
ADV0110,Wirehouse,15.5,3.325,0.1125,1,6
ADV0111,Wirehouse,13.0,2.95,0.15,0,3
ADV0112,RIA,1.2,1.18,0.09,0,4
ADV0113,RIA,5.3,1.795,0.06,0,4
ADV0114,Broker-Dealer,10.6,2.59,0.111,0,4
ADV0115,RIA,17.8,3.67,0.045,0,4
ADV0116,R.I.A.,1.9,1.285,0.09,0,3
ADV0117,Wirehouse,1.3,1.195,0.225,0,1
ADV0118,RIA,6.3,1.945,0.06,0,2
ADV0119,Broker-Dealer,0.8,1.12,0.1665,0,5
ADV0120,RIA,6.1,1.915,0.06,0,4
ADV0121,RIA,8.4,2.26,0.06,0,3
ADV0122,Wirehouse,3.0,1.45,0.1725,1,3
ADV0123,Wirehouse,6.2,1.93,0.15,1,3
ADV0124,Wirehouse,12.2,2.83,0.15,0,4
ADV0125,Broker-Dealer,4.3,1.645,0.1276,0,2
ADV0126,RIA,3.4,1.51,0.069,1,2
ADV0127,RIA,6.0,1.9,0.06,0,3
ADV0128,Wirehouse,2.7,1.405,0.1725,0,0
ADV0129,Broker-Dealer,21.2,4.18,0.0832,0,5
ADV0130,Broker-Dealer,6.7,2.005,0.111,0,4
ADV0131,Wirehouse,3.7,1.555,0.1725,0,2
ADV0132,Wirehouse,7.6,2.14,0.15,1,2
ADV0133,Wirehouse,6.0,1.9,0.15,0,4
ADV0134,RIA,5.5,1.825,0.06,0,2
ADV0135,Wirehouse,4.3,1.645,0.1725,0,3
ADV0136,Broker-Dealer,4.1,1.615,0.1276,0,1
ADV0137,Broker-Dealer,1.6,1.24,0.1665,0,3
ADV0138,Broker-Dealer,15.5,3.325,0.0832,0,4
ADV0139,RIA,9.7,2.455,0.06,0,3
ADV0140,RIA,8.1,2.215,0.06,0,1
ADV0141,Wirehouse,5.9,1.885,0.15,0,1
ADV0142,Broker-Dealer,2.9,1.435,0.1276,0,2
ADV0143,Wirehouse,3.5,1.525,0.1725,0,5
ADV0144,Wirehouse,1.8,1.27,0.225,0,5
ADV0145,Wirehouse,3.9,1.585,0.1725,0,3
ADV0146,Broker-Dealer,2.6,1.39,0.1276,0,2
ADV0147,Broker-Dealer,18.4,3.76,0.0832,0,9
ADV0148,Wirehouse,11.7,2.755,0.15,0,3
ADV0149,Wirehouse,6.9,2.035,0.15,0,5
ADV0150,RIA,3.2,1.48,0.069,0,2
ADV0151,Wirehouse,2.7,1.405,0.1725,1,1
ADV0152,Wirehouse,5.7,1.855,0.15,0,7
ADV0153,Broker-Dealer,12.0,2.8,0.111,0,7
ADV0154,RIA,1.9,1.285,0.09,0,1
ADV0155,Wirehouse,9.6,2.44,0.15,1,3
ADV0156,Broker-Dealer,3.9,1.585,0.1276,0,5
ADV0157,Broker-Dealer,4.5,1.675,0.1276,0,2
ADV0158,Wirehouse,6.8,2.02,0.15,0,4
ADV0159,Broker-Dealer,3.3,1.495,0.1276,0,5
ADV0160,Broker-Dealer,5.5,1.825,0.111,0,5
ADV0161,Broker-Dealer,3.1,1.465,0.1276,1,2
ADV0162,Broker-Dealer,4.1,1.615,0.1276,0,2
ADV0163,Broker-Dealer,10.9,2.635,0.111,0,4
ADV0164,Wirehouse,7.0,2.05,0.15,0,6
ADV0165,RIA,10.8,2.62,0.06,0,3
ADV0166,Wirehouse,3.8,1.57,0.1725,0,2
ADV0167,Wirehouse,9.7,2.455,0.15,0,4
ADV0168,Wirehouse,1.4,1.21,0.225,0,2
ADV0169,Broker-Dealer,6.8,2.02,0.111,0,4
ADV0170,Broker-Dealer,10.1,2.515,0.111,0,3
ADV0171,Wirehouse,1.4,1.21,0.225,0,3
ADV0172,Broker-Dealer,3.9,1.585,0.1276,0,2
ADV0173,Wirehouse,6.8,2.02,0.15,0,7
ADV0174,Broker-Dealer,12.6,2.89,0.111,0,4
ADV0175,Wirehouse,4.1,1.615,0.1725,0,3
ADV0176,Broker-Dealer,9.4,2.41,0.111,0,8
ADV0177,Broker-Dealer,16.1,3.415,0.0832,0,8
ADV0178,RIA,9.7,2.455,0.06,0,3
ADV0179,Wirehouse,5.6,1.84,0.15,0,3
ADV0180,Wirehouse,8.5,2.275,0.15,0,4
ADV0181,Wirehouse,4.0,1.6,0.1725,0,4
ADV0182,RIA,7.0,2.05,0.06,0,3
ADV0183,RIA,5.8,1.87,0.06,0,7
ADV0184,Wirehouse,8.3,2.245,0.15,0,5
ADV0185,Broker-Dealer,4.8,1.72,0.1276,1,4
ADV0186,R.I.A.,8.6,2.29,0.06,0,6
ADV0187,Broker-Dealer,4.7,1.705,0.1276,0,3
ADV0188,Broker-Dealer,11.6,2.74,0.111,0,12
ADV0189,Wirehouse,5.1,1.765,0.15,0,3
ADV0190,Wirehouse,0.8,1.12,0.225,0,0
ADV0191,RIA,2.8,1.42,0.069,0,3
ADV0192,RIA,6.6,1.99,0.06,0,4
ADV0193,Broker-Dealer,18.3,3.745,0.0832,0,6
ADV0194,Wirehouse,11.4,2.71,0.15,0,4
ADV0195,Wirehouse,0.6,1.09,0.225,0,0
ADV0196,Broker-Dealer,1.7,1.255,0.1665,0,5
ADV0197,RIA,13.7,3.055,0.06,0,6
ADV0198,RIA,10.1,2.515,0.06,0,3
ADV0199,Broker-Dealer,24.5,4.675,0.0832,0,7
ADV0200,Broker-Dealer,4.6,1.69,0.1276,0,1
ADV0201,Wirehouse,3.3,1.495,0.1725,0,3
ADV0202,Wirehouse,6.9,2.035,0.15,1,3
ADV0203,RIA,4.5,1.675,0.069,0,3
ADV0204,Broker-Dealer,12.9,2.935,0.111,0,3
ADV0205,Wirehouse,4.4,1.66,0.1725,0,3
ADV0206,Wirehouse,5.3,1.795,0.15,0,3
ADV0207,Broker-Dealer,2.9,1.435,0.1276,0,9
ADV0208,Wirehouse,10.9,2.635,0.15,0,3
ADV0209,Wirehouse,3.0,1.45,0.1725,0,4
ADV0210,Broker-Dealer,8.7,2.305,0.111,1,4
ADV0211,Broker-Dealer,20.2,4.03,0.0832,0,6
ADV0212,Broker-Dealer,1.2,1.18,0.1665,0,2
ADV0213,Wirehouse,16.6,3.49,0.1125,1,2
ADV0214,Broker-Dealer,8.0,2.2,0.111,0,5
ADV0215,Wirehouse,2.5,1.375,0.1725,1,3
ADV0216,Wirehouse,7.1,2.065,0.15,0,4
ADV0217,Broker-Dealer,10.7,2.605,0.111,0,4
ADV0218,Broker-Dealer,3.4,1.51,0.1276,0,2
ADV0219,RIA,9.1,2.365,0.06,1,4
ADV0220,Broker-Dealer,17.5,3.625,0.0832,0,6
ADV0221,Broker-Dealer,4.4,1.66,0.1276,1,4
ADV0222,Wirehouse,2.9,1.435,0.1725,0,4
ADV0223,Broker-Dealer,6.0,1.9,0.111,0,3
ADV0224,Wirehouse,6.8,2.02,0.15,0,3
ADV0225,Wirehouse,13.3,2.995,0.15,0,7
ADV0226,RIA,5.8,1.87,0.06,0,2
ADV0227,Broker-Dealer,4.7,1.705,0.1276,0,1
ADV0228,RIA,2.8,1.42,0.069,0,3
ADV0229,Broker-Dealer,1.4,1.21,0.1665,1,4
ADV0230,Broker-Dealer,2.1,1.315,0.1276,0,2
ADV0231,Broker-Dealer,2.1,1.315,0.1276,0,2
ADV0232,Broker-Dealer,5.4,1.81,0.111,1,2
ADV0233,Broker-Dealer,1.7,1.255,0.1665,0,3
ADV0234,Wirehouse,6.3,1.945,0.15,0,0
ADV0235,Broker-Dealer,20.0,4.0,0.0832,0,6
ADV0236,Wirehouse,13.5,3.025,0.15,0,3
ADV0237,Wirehouse,5.3,1.795,0.15,0,5
ADV0238,Broker-Dealer,28.2,5.23,0.0832,0,11
ADV0239,Wirehouse,6.8,2.02,0.15,1,6
ADV0240,RIA,7.5,2.125,0.06,0,5
ADV0241,R.I.A.,5.9,1.885,0.06,0,5
ADV0242,RIA,6.4,1.96,0.06,0,7
ADV0243,Broker-Dealer,4.3,1.645,0.1276,1,2
ADV0244,Wirehouse,5.4,1.81,0.15,0,4
ADV0245,RIA,16.7,3.505,0.045,0,4
ADV0246,Broker-Dealer,14.5,3.175,0.111,0,6
ADV0247,RIA,0.8,1.12,0.09,0,2
ADV0248,RIA,1.8,1.27,0.09,0,2
ADV0249,RIA,3.5,1.525,0.069,1,2
ADV0250,Wirehouse,12.1,2.815,0.15,0,2
ADV0251,Broker-Dealer,14.7,3.205,0.111,0,5
ADV0252,RIA,10.6,2.59,0.06,0,6
ADV0253,Wirehouse,2.5,1.375,0.1725,0,1
ADV0254,Wirehouse,4.3,1.645,0.1725,0,2
ADV0255,Broker-Dealer,9.2,2.38,0.111,0,3
ADV0256,RIA,5.5,1.825,0.06,0,4
ADV0257,Broker-Dealer,4.9,1.735,0.1276,0,6
ADV0258,Broker-Dealer,5.0,1.75,0.111,0,4
ADV0259,Wirehouse,13.8,3.07,0.15,0,9
ADV0260,Broker-Dealer,9.8,2.47,0.111,0,8
ADV0261,RIA,5.2,1.78,0.06,0,2
ADV0262,Wirehouse,8.2,2.23,0.15,0,1
ADV0263,Broker-Dealer,2.2,1.33,0.1276,1,2
ADV0264,RIA,4.3,1.645,0.069,0,3
ADV0265,Broker-Dealer,12.9,2.935,0.111,1,8
ADV0266,Broker-Dealer,1.6,1.24,0.1665,0,5
ADV0267,Broker-Dealer,9.9,2.485,0.111,0,9
ADV0268,Broker-Dealer,0.8,1.12,0.1665,0,2
ADV0269,Wirehouse,18.5,3.775,0.1125,0,7
ADV0270,RIA,4.3,1.645,0.069,0,3
ADV0271,RIA,8.6,2.29,0.06,0,2
ADV0272,RIA,7.1,2.065,0.06,0,5
ADV0273,RIA,7.3,2.095,0.06,0,2
ADV0274,Broker-Dealer,8.1,2.215,0.111,0,4
ADV0275,Broker-Dealer,1.3,1.195,0.1665,0,4
ADV0276,Broker-Dealer,7.4,2.11,0.111,0,3
ADV0277,Broker-Dealer,5.7,1.855,0.111,0,4
ADV0278,Broker-Dealer,4.3,1.645,0.1276,0,4
ADV0279,Broker-Dealer,3.5,1.525,0.1276,0,3
ADV0280,RIA,7.5,2.125,0.06,0,6
ADV0281,Wirehouse,2.9,1.435,0.1725,0,2
ADV0282,Broker-Dealer,12.8,2.92,0.111,0,7
ADV0283,Wirehouse,9.1,2.365,0.15,0,12
ADV0284,Broker-Dealer,7.8,2.17,0.111,0,2
ADV0285,Wirehouse,12.4,2.86,0.15,0,2
ADV0286,Broker-Dealer,1.1,1.165,0.1665,0,0
ADV0287,Broker-Dealer,2.1,1.315,0.1276,0,4
ADV0288,Wirehouse,9.3,2.395,0.15,0,6
ADV0289,Broker-Dealer,3.6,1.54,0.1276,1,1
ADV0290,Wirehouse,4.0,1.6,0.1725,0,9
ADV0291,Wirehouse,1.9,1.285,0.225,0,2
ADV0292,RIA,2.9,1.435,0.069,1,2
ADV0293,Broker-Dealer,13.0,2.95,0.111,0,1
ADV0294,Wirehouse,9.2,2.38,0.15,0,3
ADV0295,Broker-Dealer,7.5,2.125,0.111,0,9
ADV0296,Broker-Dealer,4.1,1.615,0.1276,0,3
ADV0297,Wirehouse,7.1,2.065,0.15,0,4
ADV0298,Broker-Dealer,13.7,3.055,0.111,0,4
ADV0299,Wirehouse,3.7,1.555,0.1725,0,2
