cliente_id,cliente_id,segmento,meses_cliente,qtd_produtos,retorno_12m_pct,freq_contato_mes,auc_milhoes,churn,engajamento_score,retorno_relativo,flag_risco,intensidade_rel,segmento_enc,churn
CLI00051,CLI00051,Private,136,1,17.17,3,57.361,0,0.0375,5.55,0,6.8205,1.0,0
CLI00052,CLI00052,Wealth,98,4,10.74,0,129.758,0,0.0,-0.88,0,0.0,2.0,0
CLI00053,CLI00053,Wealth,29,2,3.32,2,323.501,0,0.05,-8.3,0,3.7366,2.0,0
CLI00054,CLI00054,Private,65,3,13.27,1,10.224,0,0.0375,1.65,0,2.904,1.0,0
CLI00055,CLI00055,Wealth,127,7,10.23,1,92.522,0,0.0875,-1.39,0,3.3632,2.0,0
CLI00056,CLI00056,Alta Renda,136,1,13.94,1,8.33,0,0.0125,2.32,0,3.4103,0.0,0
CLI00057,CLI00057,Alta Renda,51,7,15.75,4,5.426,1,0.35,4.13,0,6.3593,0.0,1
CLI00058,CLI00058,Alta Renda,20,2,5.25,4,6.715,0,0.1,-6.37,0,4.9,0.0,0
CLI00059,CLI00059,Alta Renda,22,7,15.76,6,10.725,0,0.525,4.14,0,6.1014,0.0,0
CLI00060,CLI00060,Alta Renda,131,5,11.53,1,9.969,0,0.0625,-0.09,0,3.3845,0.0,0
CLI00061,CLI00061,Alta Renda,89,1,17.18,5,8.02,0,0.0625,5.56,0,8.0626,0.0,0
CLI00062,CLI00062,Private,14,2,10.64,7,73.28,0,0.175,-0.98,0,5.6312,1.0,0
CLI00063,CLI00063,Alta Renda,68,2,9.52,2,7.593,1,0.05,-2.1,0,4.6516,0.0,1
CLI00064,CLI00064,Alta Renda,122,3,11.61,2,6.189,0,0.075,-0.01,0,5.2867,0.0,0
CLI00065,CLI00065,Private,135,3,11.93,1,9.576,0,0.0375,0.31,0,3.4052,1.0,0
CLI00066,CLI00066,Alta Renda,93,5,8.72,3,15.156,0,0.1875,-2.9,0,6.2983,0.0,0
CLI00067,CLI00067,Private,77,2,9.42,4,63.024,1,0.1,-2.2,0,7.0119,1.0,1
CLI00068,CLI00068,Alta Renda,69,6,6.35,3,17.475,0,0.225,-5.27,0,5.8897,0.0,0
CLI00069,CLI00069,Family Office,77,2,9.67,2,492.525,0,0.05,-1.95,0,4.7863,3.0,0
CLI00070,CLI00070,Private,26,3,14.34,2,9.137,0,0.075,2.72,0,3.6208,1.0,0
CLI00071,CLI00071,Alta Renda,23,6,10.92,1,12.259,0,0.075,-0.7,0,2.2029,0.0,0
CLI00072,CLI00072,Alta Renda,69,1,15.74,1,3.72,0,0.0125,4.12,0,2.9448,0.0,0
CLI00073,CLI00073,Private,87,1,10.72,4,91.887,1,0.05,-0.9,0,7.206,1.0,1
CLI00074,CLI00074,Private,115,7,5.49,5,30.837,0,0.4375,-6.13,0,8.5173,1.0,0
CLI00075,CLI00075,Private,100,4,14.01,1,15.883,1,0.05,2.39,0,3.199,1.0,1
CLI00076,CLI00076,Private,37,3,8.67,5,85.736,0,0.1875,-2.95,0,6.5177,1.0,0
CLI00077,CLI00077,Alta Renda,16,4,10.52,0,6.06,0,0.0,-1.1,0,0.0,0.0,0
CLI00078,CLI00078,Alta Renda,50,6,16.7,4,7.813,0,0.3,5.08,0,6.328,0.0,0
CLI00079,CLI00079,Alta Renda,38,3,6.62,4,4.173,0,0.15,-5.0,0,5.8963,0.0,0
CLI00080,CLI00080,Wealth,107,5,12.19,5,187.443,0,0.3125,0.57,0,8.3893,2.0,0
CLI00081,CLI00081,Private,141,2,11.33,1,14.569,1,0.025,-0.29,0,3.4351,1.0,1
CLI00082,CLI00082,Alta Renda,16,5,14.44,5,7.311,0,0.3125,2.82,0,5.0764,0.0,0
CLI00083,CLI00083,Alta Renda,93,6,15.09,2,7.086,0,0.15,3.47,0,4.9913,0.0,0
CLI00084,CLI00084,Alta Renda,46,3,12.61,1,12.707,1,0.0375,0.99,0,2.6687,0.0,1
CLI00085,CLI00085,Alta Renda,81,8,9.99,7,5.322,0,0.7,-1.63,0,9.1635,0.0,0
CLI00086,CLI00086,Private,126,6,13.49,1,24.43,0,0.075,1.87,0,3.3577,1.0,0
CLI00087,CLI00087,Private,51,8,17.11,3,133.624,0,0.3,5.49,0,5.4776,1.0,0
CLI00088,CLI00088,Wealth,85,2,11.39,5,58.702,0,0.125,-0.23,0,7.9811,2.0,0
CLI00089,CLI00089,Private,59,1,10.38,3,35.5,0,0.0375,-1.24,0,5.676,1.0,0
CLI00090,CLI00090,Alta Renda,91,1,13.13,0,13.273,1,0.0,1.51,0,0.0,0.0,1
CLI00091,CLI00091,Private,97,6,11.66,3,8.303,0,0.225,0.04,0,6.3561,1.0,0
CLI00092,CLI00092,Private,102,4,5.88,2,23.765,0,0.1,-5.74,0,5.0918,1.0,0
CLI00093,CLI00093,Private,7,3,12.51,1,22.537,0,0.0375,0.89,0,1.4414,1.0,0
CLI00094,CLI00094,Private,38,3,5.84,2,31.353,1,0.075,-5.78,0,4.0248,1.0,1
CLI00095,CLI00095,Private,82,1,13.07,8,27.263,0,0.1,1.45,0,9.7092,1.0,0
CLI00096,CLI00096,Private,121,7,8.15,5,38.85,0,0.4375,-3.47,0,8.6077,1.0,0
CLI00097,CLI00097,Alta Renda,108,5,11.65,0,4.134,0,0.0,0.03,0,0.0,0.0,0
CLI00098,CLI00098,Alta Renda,108,7,13.14,1,4.464,0,0.0875,1.52,0,3.2518,0.0,0
CLI00099,CLI00099,Alta Renda,95,2,21.81,2,5.682,0,0.05,10.19,0,5.0144,0.0,0
CLI00100,CLI00100,Alta Renda,127,5,14.62,2,7.187,0,0.125,3.0,0,5.3305,0.0,0
CLI00101,CLI00101,Private,111,5,17.23,2,11.194,1,0.125,5.61,0,5.1838,1.0,1
CLI00102,CLI00102,Alta Renda,124,6,19.36,2,3.0,1,0.15,7.74,0,5.3044,0.0,1
CLI00103,CLI00103,Private,54,1,13.55,0,20.155,0,0.0,1.93,0,0.0,1.0,0
CLI00104,CLI00104,Wealth,109,7,12.7,8,46.216,0,0.7,1.08,0,10.328,2.0,0
CLI00105,CLI00105,Alta Renda,66,7,7.02,3,9.012,0,0.2625,-4.6,0,5.8289,0.0,0
CLI00106,CLI00106,Alta Renda,128,1,11.01,3,17.922,0,0.0375,-0.61,0,6.7371,0.0,0
CLI00107,CLI00107,Private,139,7,8.46,3,33.761,0,0.2625,-3.16,0,6.8506,1.0,0
CLI00108,CLI00108,Alta Renda,14,8,9.82,2,10.015,0,0.2,-1.8,0,2.9751,0.0,0
CLI00109,CLI00109,Alta Renda,11,1,19.36,4,6.234,0,0.05,7.74,0,3.9993,0.0,0
CLI00110,CLI00110,Alta Renda,78,6,11.98,5,3.855,0,0.375,0.36,0,7.829,0.0,0
CLI00111,CLI00111,Alta Renda,108,4,7.82,5,3.0,0,0.25,-3.8,0,8.4058,0.0,0
CLI00112,CLI00112,Wealth,46,5,17.27,9,147.693,0,0.5625,5.65,0,8.8653,2.0,0
CLI00113,CLI00113,Private,119,6,15.51,3,17.724,0,0.225,3.89,0,6.6369,1.0,0
CLI00114,CLI00114,Private,13,3,15.73,7,54.042,1,0.2625,4.11,0,5.4878,1.0,1
CLI00115,CLI00115,Wealth,77,2,3.07,2,94.508,0,0.05,-8.55,0,4.7863,2.0,0
CLI00116,CLI00116,Private,97,4,19.68,3,17.938,0,0.15,8.06,0,6.3561,1.0,0
CLI00117,CLI00117,Alta Renda,67,3,9.15,1,3.0,0,0.0375,-2.47,0,2.9247,0.0,0
CLI00118,CLI00118,Wealth,89,5,14.77,4,229.213,0,0.25,3.15,0,7.2422,2.0,0
CLI00119,CLI00119,Private,67,7,22.1,2,30.514,0,0.175,10.48,0,4.6356,1.0,0
CLI00120,CLI00120,Private,116,1,20.55,3,26.291,0,0.0375,8.93,0,6.6018,1.0,0
CLI00121,CLI00121,Wealth,132,5,7.39,3,260.344,0,0.1875,-4.23,0,6.7795,2.0,0
CLI00122,CLI00122,Alta Renda,12,6,5.43,3,6.514,0,0.225,-6.19,0,3.5558,0.0,0
CLI00123,CLI00123,Alta Renda,89,2,17.51,2,22.303,0,0.05,5.89,0,4.9435,0.0,0
CLI00124,CLI00124,Alta Renda,137,6,12.1,4,3.0,0,0.3,0.48,0,7.9301,0.0,0
CLI00125,CLI00125,Alta Renda,139,4,9.4,2,10.289,0,0.1,-2.22,0,5.4289,0.0,0
CLI00126,CLI00126,Private,63,4,14.11,3,15.232,0,0.15,2.49,0,5.7654,1.0,0
CLI00127,CLI00127,Wealth,27,2,10.82,2,189.784,0,0.05,-0.8,0,3.6608,2.0,0
CLI00128,CLI00128,Alta Renda,132,8,14.45,2,4.822,0,0.2,2.83,0,5.3726,0.0,0
CLI00129,CLI00129,Private,8,3,11.78,4,29.035,0,0.15,0.16,0,3.5363,1.0,0
CLI00130,CLI00130,Alta Renda,132,3,14.53,4,5.821,0,0.15,2.91,0,7.8707,0.0,0
CLI00131,CLI00131,Alta Renda,46,4,7.74,7,4.179,1,0.35,-3.88,0,8.0062,0.0,1
CLI00132,CLI00132,Alta Renda,111,4,17.48,0,3.3,1,0.0,5.86,0,0.0,0.0,1
CLI00133,CLI00133,Alta Renda,19,7,14.43,2,7.501,0,0.175,2.81,0,3.2911,0.0,0
CLI00134,CLI00134,Wealth,17,1,14.21,1,187.122,0,0.0125,2.59,0,2.0035,2.0,0
CLI00135,CLI00135,Alta Renda,92,7,6.81,4,8.089,0,0.35,-4.81,0,7.2949,0.0,0
CLI00136,CLI00136,Private,17,7,18.64,1,12.744,0,0.0875,7.02,0,2.0035,1.0,0
CLI00137,CLI00137,Private,30,8,11.44,2,21.457,0,0.2,-0.18,0,3.7726,1.0,0
CLI00138,CLI00138,Alta Renda,50,3,14.56,1,10.11,0,0.0375,2.94,0,2.7253,0.0,0
CLI00139,CLI00139,Family Office,127,8,10.14,4,442.801,0,0.4,-1.48,0,7.809,3.0,0
CLI00140,CLI00140,Family Office,60,8,12.6,6,688.026,0,0.6,0.98,0,7.9994,3.0,0
CLI00141,CLI00141,Alta Renda,105,2,12.75,0,3.0,0,0.0,1.13,0,0.0,0.0,0
CLI00142,CLI00142,Private,141,3,-0.34,0,28.513,0,0.0,-11.96,0,0.0,1.0,0
CLI00143,CLI00143,Alta Renda,124,1,13.95,2,11.32,0,0.025,2.33,0,5.3044,0.0,0
CLI00144,CLI00144,Alta Renda,58,6,19.75,4,11.432,1,0.3,8.13,0,6.5625,0.0,1
CLI00145,CLI00145,Alta Renda,37,4,13.77,5,8.841,0,0.25,2.15,0,6.5177,0.0,0
CLI00146,CLI00146,Private,56,4,7.48,2,11.891,0,0.1,-4.14,0,4.4417,1.0,0
CLI00147,CLI00147,Private,49,1,14.23,3,40.703,0,0.0375,2.61,0,5.4232,1.0,0
CLI00148,CLI00148,Alta Renda,87,8,15.95,3,5.553,0,0.3,4.33,0,6.2069,0.0,0
CLI00149,CLI00149,Alta Renda,42,7,13.65,1,8.294,0,0.0875,2.03,0,2.6071,0.0,0
CLI00150,CLI00150,Wealth,101,2,11.19,5,11.87,0,0.125,-0.43,0,8.2868,2.0,0
CLI00151,CLI00151,Alta Renda,61,8,10.48,1,6.409,0,0.1,-1.14,0,2.8607,0.0,0
CLI00152,CLI00152,Alta Renda,110,4,10.47,6,11.924,0,0.3,-1.15,0,9.1643,0.0,0
CLI00153,CLI00153,Private,64,5,14.43,2,32.734,0,0.125,2.81,0,4.586,1.0,0
CLI00154,CLI00154,Family Office,136,7,5.59,1,767.691,0,0.0875,-6.03,0,3.4103,3.0,0
CLI00155,CLI00155,Alta Renda,40,4,9.94,3,5.722,0,0.15,-1.68,0,5.1481,0.0,0
CLI00156,CLI00156,Private,98,5,18.2,1,38.529,0,0.0625,6.58,0,3.1851,1.0,0
CLI00157,CLI00157,Private,102,8,18.36,4,28.042,0,0.4,6.74,0,7.4593,1.0,0
CLI00158,CLI00158,Alta Renda,140,1,5.29,1,7.428,1,0.0125,-6.33,0,3.4302,0.0,1
CLI00159,CLI00159,Private,81,1,6.75,2,14.038,0,0.025,-4.87,0,4.8413,1.0,0
CLI00160,CLI00160,Alta Renda,54,7,10.36,1,3.0,0,0.0875,-1.26,0,2.7777,0.0,0
CLI00161,CLI00161,Private,99,4,15.25,2,27.999,0,0.1,3.63,0,5.0593,1.0,0
CLI00162,CLI00162,Private,29,3,3.82,3,40.693,0,0.1125,-7.8,0,4.7151,1.0,0
CLI00163,CLI00163,Private,42,5,11.27,6,13.709,0,0.375,-0.35,0,7.319,1.0,0
CLI00164,CLI00164,Alta Renda,9,2,9.51,2,8.28,0,0.05,-2.11,0,2.5296,0.0,0
CLI00165,CLI00165,Wealth,113,4,17.07,4,146.851,0,0.2,5.45,0,7.6226,2.0,0
CLI00166,CLI00166,Alta Renda,131,2,4.46,1,4.635,0,0.025,-7.16,0,3.3845,0.0,0
CLI00167,CLI00167,Alta Renda,25,4,11.89,0,9.279,0,0.0,0.27,0,0.0,0.0,0
CLI00168,CLI00168,Alta Renda,55,3,9.85,1,10.8,1,0.0375,-1.77,0,2.7902,0.0,1
CLI00169,CLI00169,Private,101,3,17.67,3,14.378,0,0.1125,6.05,0,6.4116,1.0,0
CLI00170,CLI00170,Private,110,7,14.01,3,24.157,0,0.2625,2.39,0,6.5288,1.0,0
CLI00171,CLI00171,Alta Renda,122,7,9.04,3,5.005,0,0.2625,-2.58,0,6.6711,0.0,0
CLI00172,CLI00172,Private,103,3,15.08,4,22.408,0,0.15,3.46,0,7.4749,1.0,0
CLI00173,CLI00173,Alta Renda,71,6,9.87,3,7.121,0,0.225,-1.75,0,5.9287,0.0,0
CLI00174,CLI00174,Private,84,3,15.7,4,27.73,0,0.15,4.08,0,7.1502,1.0,0
CLI00175,CLI00175,Alta Renda,11,1,10.5,4,7.705,0,0.05,-1.12,0,3.9993,0.0,0
CLI00176,CLI00176,Private,44,1,15.93,3,23.504,0,0.0375,4.31,0,5.2772,1.0,0
CLI00177,CLI00177,Alta Renda,120,6,13.33,5,8.571,0,0.375,1.71,0,8.5929,0.0,0
CLI00178,CLI00178,Wealth,130,8,25.19,4,192.742,0,0.4,13.57,0,7.8463,2.0,0
CLI00179,CLI00179,Alta Renda,17,5,11.28,1,10.808,0,0.0625,-0.34,0,2.0035,0.0,0
CLI00180,CLI00180,Alta Renda,136,8,13.11,1,10.058,0,0.1,1.49,0,3.4103,0.0,0
CLI00181,CLI00181,Alta Renda,23,2,9.49,1,5.68,0,0.025,-2.13,0,2.2029,0.0,0
CLI00182,CLI00182,Wealth,45,8,11.51,2,48.126,0,0.2,-0.11,0,4.2062,2.0,0
CLI00183,CLI00183,Wealth,26,4,0.15,2,110.629,0,0.1,-11.47,0,3.6208,2.0,0
CLI00184,CLI00184,Alta Renda,104,8,13.46,3,16.861,0,0.3,1.84,0,6.4518,0.0,0
CLI00185,CLI00185,Private,31,4,17.14,3,30.821,0,0.15,5.52,0,4.8045,1.0,0
CLI00186,CLI00186,Private,13,6,13.17,3,58.282,0,0.225,1.55,0,3.6585,1.0,0
CLI00187,CLI00187,Private,105,1,5.98,3,38.677,1,0.0375,-5.64,0,6.4649,1.0,1
CLI00188,CLI00188,Private,92,7,8.13,2,28.959,0,0.175,-3.49,0,4.9796,1.0,0
CLI00189,CLI00189,Alta Renda,47,4,1.29,4,10.586,0,0.2,-10.33,0,6.2305,0.0,0
CLI00190,CLI00190,Alta Renda,19,1,15.61,2,15.161,0,0.025,3.99,0,3.2911,0.0,0
CLI00191,CLI00191,Wealth,83,5,7.27,2,55.852,0,0.125,-4.35,0,4.8677,2.0,0
CLI00192,CLI00192,Wealth,7,2,11.38,4,214.511,0,0.1,-0.24,0,3.3467,2.0,0
CLI00193,CLI00193,Private,124,5,10.85,3,14.414,0,0.1875,-0.77,0,6.6935,1.0,0
CLI00194,CLI00194,Alta Renda,42,6,17.75,4,8.471,0,0.3,6.13,0,6.0534,0.0,0
CLI00195,CLI00195,Alta Renda,74,8,11.86,2,8.75,0,0.2,0.24,0,4.7432,0.0,0
CLI00196,CLI00196,Private,46,8,14.9,4,18.156,1,0.4,3.28,0,6.1966,1.0,1
CLI00197,CLI00197,Wealth,67,3,13.8,3,59.091,0,0.1125,2.18,0,5.8495,2.0,0
CLI00198,CLI00198,Wealth,65,3,17.21,2,65.701,0,0.075,5.59,0,4.6028,2.0,0
CLI00199,CLI00199,Private,130,3,10.5,5,46.397,0,0.1875,-1.12,0,8.7352,1.0,0
CLI00200,CLI00200,Private,116,5,19.35,2,21.139,0,0.125,7.73,0,5.2318,1.0,0
CLI00201,CLI00201,Alta Renda,19,4,3.16,1,6.563,1,0.05,-8.46,0,2.0765,0.0,1
CLI00202,CLI00202,Alta Renda,89,2,15.1,2,5.484,0,0.05,3.48,0,4.9435,0.0,0
CLI00203,CLI00203,Wealth,135,3,7.86,2,81.357,0,0.075,-3.76,0,5.3971,2.0,0
CLI00204,CLI00204,Private,75,6,9.43,6,15.667,0,0.45,-2.19,0,8.4272,1.0,0
CLI00205,CLI00205,Alta Renda,128,6,13.89,2,11.969,0,0.15,2.27,0,5.339,0.0,0
CLI00206,CLI00206,Alta Renda,94,3,13.86,3,8.097,1,0.1125,2.24,0,6.313,0.0,1
CLI00207,CLI00207,Private,33,8,14.05,3,98.595,0,0.3,2.43,0,4.8886,1.0,0
CLI00208,CLI00208,Alta Renda,71,3,5.68,4,6.511,0,0.15,-5.94,0,6.883,0.0,0
CLI00209,CLI00209,Alta Renda,10,2,17.59,2,3.989,0,0.05,5.97,0,2.6344,0.0,0
CLI00210,CLI00210,Private,50,3,7.72,2,69.887,0,0.075,-3.9,0,4.3196,1.0,0
CLI00211,CLI00211,Private,52,2,8.28,3,25.985,0,0.075,-3.34,0,5.504,1.0,0
CLI00212,CLI00212,Private,36,6,14.18,4,14.623,0,0.3,2.56,0,5.8115,1.0,0
CLI00213,CLI00213,Alta Renda,15,3,10.3,4,16.465,1,0.15,-1.32,0,4.4623,0.0,1
CLI00214,CLI00214,Private,123,5,12.79,6,43.216,0,0.375,1.17,0,9.3798,1.0,0
CLI00215,CLI00215,Alta Renda,19,7,2.44,1,7.447,0,0.0875,-9.18,0,2.0765,0.0,0
CLI00216,CLI00216,Alta Renda,85,5,12.69,3,3.565,0,0.1875,1.07,0,6.175,0.0,0
CLI00217,CLI00217,Private,98,6,12.41,1,20.867,1,0.075,0.79,0,3.1851,1.0,1
CLI00218,CLI00218,Private,15,2,9.36,3,47.719,0,0.075,-2.26,0,3.8436,1.0,0
CLI00219,CLI00219,Wealth,81,5,2.79,3,474.659,0,0.1875,-8.83,0,6.109,2.0,0
CLI00220,CLI00220,Private,99,2,10.61,3,20.88,0,0.075,-1.01,0,6.3841,1.0,0
CLI00221,CLI00221,Private,110,5,11.34,1,75.147,0,0.0625,-0.28,0,3.2644,1.0,0
CLI00222,CLI00222,Alta Renda,6,5,9.96,1,7.321,0,0.0625,-1.66,0,1.3488,0.0,0
CLI00223,CLI00223,Alta Renda,138,2,3.79,2,6.268,0,0.05,-7.83,0,5.4211,0.0,0
CLI00224,CLI00224,Alta Renda,25,4,18.2,2,6.128,0,0.1,6.58,0,3.5794,0.0,0
CLI00225,CLI00225,Alta Renda,13,5,8.82,2,9.61,0,0.125,-2.8,0,2.8993,0.0,0
CLI00226,CLI00226,Family Office,6,3,10.57,3,560.928,0,0.1125,-1.05,0,2.6976,3.0,0
CLI00227,CLI00227,Alta Renda,62,7,1.38,0,6.272,0,0.0,-10.24,0,0.0,0.0,0
CLI00228,CLI00228,Wealth,69,6,18.2,0,211.35,0,0.0,6.58,0,0.0,2.0,0
CLI00229,CLI00229,Private,123,4,9.54,3,20.511,1,0.15,-2.08,0,6.6823,1.0,1
CLI00230,CLI00230,Private,33,2,11.91,2,115.705,0,0.05,0.29,0,3.8741,1.0,0
CLI00231,CLI00231,Private,126,4,16.21,5,31.476,0,0.25,4.59,0,8.6796,1.0,0
CLI00232,CLI00232,Private,112,1,8.66,4,64.25,0,0.05,-2.96,0,7.6084,1.0,0
CLI00233,CLI00233,Private,54,1,15.55,1,20.25,0,0.0125,3.93,0,2.7777,1.0,0
CLI00234,CLI00234,Alta Renda,125,5,2.84,3,5.917,0,0.1875,-8.78,0,6.7045,0.0,0
CLI00235,CLI00235,Private,49,5,13.81,6,12.748,0,0.375,2.19,0,7.6124,1.0,0
CLI00236,CLI00236,Alta Renda,61,3,18.1,3,14.809,0,0.1125,6.48,0,5.7214,0.0,0
CLI00237,CLI00237,Alta Renda,116,7,9.06,1,3.0,0,0.0875,-2.56,0,3.3009,0.0,0
CLI00238,CLI00238,Private,139,6,16.2,4,7.018,0,0.3,4.58,0,7.9533,1.0,0
CLI00239,CLI00239,Alta Renda,113,4,19.2,6,6.805,0,0.3,7.58,0,9.2162,0.0,0
CLI00240,CLI00240,Wealth,119,1,10.43,2,313.774,0,0.025,-1.19,0,5.2596,2.0,0
CLI00241,CLI00241,Wealth,83,5,10.08,3,33.85,0,0.1875,-1.54,0,6.1424,2.0,0
CLI00242,CLI00242,Wealth,135,8,7.73,4,48.204,0,0.4,-3.89,0,7.9066,2.0,0
CLI00243,CLI00243,Alta Renda,42,8,9.36,0,11.667,0,0.0,-2.26,0,0.0,0.0,0
CLI00244,CLI00244,Alta Renda,25,6,8.08,1,9.882,0,0.075,-3.54,0,2.2583,0.0,0
CLI00245,CLI00245,Wealth,31,4,7.72,1,262.58,0,0.05,-3.9,0,2.4023,2.0,0
CLI00246,CLI00246,Alta Renda,34,5,16.54,1,12.267,0,0.0625,4.92,0,2.4644,0.0,0
CLI00247,CLI00247,Family Office,6,5,8.18,1,996.443,0,0.0625,-3.44,0,1.3488,3.0,0
CLI00248,CLI00248,Family Office,124,1,12.59,4,689.966,0,0.05,0.97,0,7.7709,3.0,0
CLI00249,CLI00249,Wealth,40,1,11.66,1,35.036,0,0.0125,0.04,0,2.5741,2.0,0
CLI00250,CLI00250,Alta Renda,64,5,17.79,1,21.28,0,0.0625,6.17,0,2.8935,0.0,0
