cliente_id,segmento,meses_cliente,qtd_produtos,retorno_12m_pct,freq_contato_mes,auc_milhoes,churn,assessor_id,risco_saida_assessor,prob_saida_assessor,auc_exposto,dias_desde_ultimo_contato,variacao_freq_contato_3m,tempo_resposta_medio_horas,qtd_emails_marketing_recebidos,sem_historico_12m,cliente_novo_sem_contato_hist
CLI00171,Alta Renda,122,7,9.04,3.0,5.005,0,ADV0000,1,0.1134,0.568,8.3,-0.378,23.3,4,0,0
CLI00172,Private,103,3,15.08,2.7857142857142856,22.408,0,ADV0025,0,0.1058,2.371,5.6,0.007,16.7,4,0,0
CLI00173,Alta Renda,71,6,9.87,3.0,7.121,0,ADV0011,0,0.0656,0.467,13.4,-0.639,28.1,2,0,0
CLI00174,Private,84,3,15.7,4.0,27.73,0,ADV0032,0,0.1735,4.811,7.0,0.13,13.5,7,0,0
CLI00175,Alta Renda,11,1,,4.0,7.705,0,ADV0009,0,0.1144,0.881,15.4,0.016,20.9,5,1,0
CLI00176,Private,44,1,15.93,3.0,23.504,0,ADV0034,0,0.056,1.316,3.1,0.104,9.9,6,0,0
CLI00177,Alta Renda,120,6,13.33,5.0,8.571,0,ADV0019,0,0.1791,1.535,1.8,0.233,5.6,5,0,0
CLI00178,Wealth,130,8,25.19,4.0,192.742,0,ADV0047,0,0.1208,23.283,17.0,0.044,20.9,4,0,0
CLI00179,Alta Renda,17,5,11.28,1.0,10.808,0,ADV0006,0,0.1377,1.488,36.5,0.359,23.6,4,0,0
CLI00180,Alta Renda,136,8,13.11,2.6315789473684212,10.058,0,ADV0017,0,0.0868,0.873,17.5,0.137,8.5,5,0,0
CLI00181,Alta Renda,23,2,9.49,2.816326530612245,5.68,0,ADV0005,0,0.154,0.875,19.2,-0.167,33.6,5,0,0
CLI00182,Wealth,45,8,11.51,2.0,48.126,0,ADV0046,1,0.1543,7.426,13.8,-0.052,34.1,4,0,0
CLI00183,Wealth,26,4,0.15,2.0,110.629,0,ADV0045,0,0.0857,9.481,14.8,-0.497,6.4,4,0,0
CLI00184,Alta Renda,104,8,13.46,3.0,16.861,0,ADV0012,0,0.0662,1.116,3.7,-0.198,6.6,5,0,0
CLI00185,Private,31,4,17.14,3.0,30.821,0,ADV0033,0,0.0642,1.979,7.2,-0.084,6.9,7,0,0
CLI00186,Private,13,6,13.17,3.0,58.282,0,ADV0042,0,0.2352,13.708,28.8,0.12,12.3,2,0,0
CLI00187,Private,105,1,5.98,3.0,38.677,1,ADV0028,0,0.1197,4.63,25.3,-0.149,15.3,5,0,0
CLI00188,Private,92,7,8.13,2.0,28.959,0,ADV0026,0,0.1872,5.421,28.4,-0.274,4.6,6,0,0
CLI00189,Alta Renda,47,4,1.29,4.0,10.586,0,ADV0011,0,0.0656,0.694,14.5,-0.415,7.0,7,0,0
CLI00190,Alta Renda,19,1,15.61,2.816326530612245,15.161,0,ADV0005,0,0.154,2.335,15.0,-0.131,1.8,8,0,0
CLI00191,Wealth,83,5,7.27,2.0,55.852,0,ADV0045,0,0.0857,4.787,10.3,0.429,2.2,7,0,0
CLI00192,Wealth,7,2,11.38,4.0,214.511,0,ADV0045,0,0.0857,18.384,21.1,0.06,3.8,6,0,0
CLI00193,Private,124,5,10.85,2.7650602409638556,14.414,0,ADV0031,0,0.1595,2.299,24.5,0.207,42.0,5,0,0
CLI00194,Alta Renda,42,6,17.75,2.6315789473684212,8.471,0,ADV0017,0,0.0868,0.735,6.9,-0.198,38.9,4,0,0
CLI00195,Alta Renda,74,8,11.86,2.0,8.75,0,ADV0017,0,0.0868,0.76,4.0,-0.346,21.7,10,0,0
CLI00196,Private,46,8,14.9,4.0,18.156,1,ADV0037,0,0.1863,3.382,4.8,-0.171,11.2,5,0,0
CLI00197,Wealth,67,3,13.8,3.0,59.091,0,ADV0045,0,0.0857,5.064,18.6,-0.021,3.7,8,0,0
CLI00198,Wealth,65,3,17.21,2.0,65.701,0,ADV0045,0,0.0857,5.631,17.1,-0.439,13.3,2,0,0
CLI00199,Private,130,3,10.5,5.0,46.397,0,ADV0040,0,0.1452,6.737,54.4,-0.221,18.0,5,0,0
CLI00200,Private,116,5,19.35,2.0,21.139,0,ADV0031,0,0.1595,3.372,13.9,-0.129,7.6,2,0,0
CLI00201,Alta Renda,19,4,3.16,1.0,6.563,1,ADV0004,0,0.1679,1.102,31.1,-0.413,18.7,5,0,0
CLI00202,Alta Renda,89,2,15.1,2.6315789473684212,5.484,0,ADV0008,0,0.1289,0.707,15.8,-0.467,5.2,3,0,0
CLI00203,Wealth,135,3,7.86,2.963855421686747,81.357,0,ADV0045,0,0.0857,6.972,16.4,0.064,8.7,7,0,0
CLI00204,Private,75,6,9.43,6.0,15.667,0,ADV0030,0,0.1175,1.841,11.5,0.01,11.2,2,0,0
CLI00205,Alta Renda,128,6,13.89,2.0,11.969,0,ADV0000,1,0.1134,1.357,7.1,0.171,39.6,4,0,0
CLI00206,Alta Renda,94,3,13.86,3.0,8.097,1,ADV0005,0,0.154,1.247,16.2,-0.199,12.3,6,0,0
CLI00207,Private,33,8,14.05,3.0,98.595,0,ADV0033,0,0.0642,6.33,13.0,0.167,17.9,2,0,0
