cliente_id,segmento,meses_cliente,qtd_produtos,retorno_12m_pct,freq_contato_mes,saldo_bi,churn,assessor_id,risco_saida_assessor,auc_exposto,dias_desde_ultimo_contato,variacao_freq_contato_3m,tempo_resposta_medio_horas,qtd_emails_marketing_recebidos
CLI00033,Wealth,131,6,9.48,0,0.8407,0,ADV0284,0,0.0,13.0,0.143,8.0,3
CLI00034,Wealth,1,1,15.09,2,0.1997,0,ADV0289,1,0.1997,4.8,0.178,22.6,4
CLI00035,Alta Renda,58,6,12.49,2,1.0166,1,ADV0243,1,1.0166,19.4,-0.233,25.4,4
CLI00036,Varejo,124,8,9.1,1,0.1109,0,ADV0092,0,0.0,13.3,-0.137,6.0,3
CLI00037,Varejo,15,3,14.58,4,0.0309,0,ADV0031,1,0.0309,10.8,-0.216,2.8,11
CLI00038,Alta Renda,64,4,8.91,2,2.008,0,ADV0206,0,0.0,7.6,-0.24,11.8,3
CLI00039,Varejo,25,4,9.92,1,0.3304,0,ADV0132,1,0.3304,5.6,0.267,3.4,4
CLI00040,Varejo,24,1,5.72,4,0.0225,1,ADV0037,0,0.0,13.6,-0.425,9.0,10
CLI00041,Varejo,12,2,9.55,1,1.2545,0,ADV0149,0,0.0,8.3,0.232,13.3,5
CLI00042,Varejo,18,7,12.57,4,0.0629,0,ADV0012,0,0.0,19.3,-0.041,27.4,3
CLI00043,Wealth,15,5,18.09,0,0.0834,0,ADV0272,0,0.0,31.5,-0.149,11.0,3
CLI00044,Varejo,27,5,10.02,4,0.6236,0,ADV0078,0,0.0,24.1,-0.241,4.1,3
CLI00045,Alta Renda,72,1,7.14,2,0.9707,0,ADV0200,0,0.0,13.6,-0.129,12.4,4
CLI00046,Varejo,60,8,17.79,6,0.045,0,ADV0094,1,0.045,7.8,0.312,26.7,2
CLI00047,Varejo,93,6,9.38,2,1.1188,0,ADV0157,0,0.0,23.6,-0.239,10.8,2
CLI00048,Varejo,53,2,4.16,2,0.515,0,ADV0164,0,0.0,20.1,0.466,30.3,7
CLI00049,Varejo,8,3,12.06,1,0.0584,1,ADV0058,0,0.0,32.8,0.077,26.7,4
CLI00050,Wealth,79,6,10.14,1,0.1201,0,ADV0290,0,0.0,15.0,0.165,21.2,4
CLI00051,Alta Renda,27,6,21.16,2,1.1865,0,ADV0233,0,0.0,37.7,-0.032,15.6,4
CLI00052,Wealth,50,1,13.5,1,0.0217,0,ADV0282,0,0.0,15.1,-0.071,29.4,4
CLI00053,Wealth,131,1,10.89,5,0.9949,0,ADV0268,0,0.0,7.8,-0.28,45.1,4
CLI00054,Varejo,93,8,7.62,3,0.4967,0,ADV0179,0,0.0,9.0,-0.022,9.5,7
CLI00055,Wealth,24,5,12.89,1,0.3204,0,ADV0276,0,0.0,18.7,-0.255,15.0,4
CLI00056,Varejo,60,1,17.62,0,0.1962,1,ADV0028,0,0.0,9.6,-0.58,31.3,6
CLI00057,Varejo,122,1,12.81,3,2.1408,0,ADV0062,1,2.1408,37.5,0.026,15.9,3
CLI00058,Varejo,131,1,7.94,2,2.5943,1,ADV0016,0,0.0,19.5,-0.241,3.6,7
CLI00059,Varejo,46,8,13.76,2,0.0743,0,ADV0098,0,0.0,13.4,0.371,10.9,3
CLI00060,Varejo,15,5,11.3,1,0.3664,0,ADV0116,0,0.0,14.2,0.22,15.9,7
CLI00061,Varejo,17,3,13.38,7,1.8902,0,ADV0082,0,0.0,10.8,0.373,34.5,6
CLI00062,Alta Renda,126,3,10.01,2,0.0596,0,ADV0249,1,0.0596,2.7,-0.15,14.4,6
CLI00063,Varejo,84,7,9.91,4,0.2267,1,ADV0107,0,0.0,12.1,-0.412,8.3,3
CLI00064,Varejo,9,7,9.75,6,0.6096,1,ADV0085,0,0.0,36.3,-0.836,22.5,1
CLI00065,Varejo,63,1,15.46,3,0.012,0,ADV0163,0,0.0,15.3,-0.062,32.4,4
CLI00066,Varejo,117,7,9.95,0,0.4854,0,ADV0042,0,0.0,25.9,0.022,8.4,7
CLI00067,Alta Renda,130,5,9.57,2,0.0402,1,ADV0241,0,0.0,33.0,0.159,42.0,2
CLI00068,Varejo,88,8,7.54,1,0.2123,0,ADV0024,0,0.0,12.7,-0.009,8.5,3
CLI00069,Corporate,72,3,13.41,1,0.7317,0,ADV0296,0,0.0,20.4,0.015,4.6,9
CLI00070,Alta Renda,139,6,12.81,1,0.0074,0,ADV0232,1,0.0074,3.0,-0.597,14.0,5
CLI00071,Varejo,64,3,9.62,4,0.4591,0,ADV0062,1,0.4591,32.9,0.056,12.9,11
CLI00072,Varejo,72,3,8.52,4,2.3392,0,ADV0002,0,0.0,31.2,0.106,3.0,2
CLI00073,Alta Renda,21,5,19.38,6,0.0826,0,ADV0245,0,0.0,18.4,0.294,7.2,3
CLI00074,Alta Renda,18,7,3.6,1,0.3498,0,ADV0213,1,0.3498,15.7,0.081,15.3,3
CLI00075,Alta Renda,64,6,13.57,5,0.9379,0,ADV0219,1,0.9379,12.8,-0.029,20.9,2
CLI00076,Alta Renda,82,5,16.92,7,0.0208,0,ADV0232,1,0.0208,27.8,0.243,24.6,2
CLI00077,Varejo,110,1,-2.72,2,0.4425,0,ADV0024,0,0.0,21.9,-0.519,22.0,7
CLI00078,Varejo,95,8,14.84,2,0.6256,0,ADV0108,0,0.0,9.9,-0.113,13.4,5
CLI00079,Varejo,32,4,10.57,1,0.3792,0,ADV0035,0,0.0,5.0,-0.168,4.0,8
CLI00080,Alta Renda,11,3,12.58,3,0.185,0,ADV0258,0,0.0,4.2,-0.008,11.4,3
CLI00081,Varejo,45,4,10.14,4,0.045,0,ADV0187,0,0.0,27.6,-0.484,1.2,4
CLI00082,Varejo,33,8,16.02,3,1.0089,0,ADV0100,0,0.0,12.6,0.29,15.3,2
CLI00083,Varejo,102,8,13.03,2,0.1729,1,ADV0021,0,0.0,30.2,0.025,14.9,1
CLI00084,Varejo,136,5,12.05,2,0.051,0,ADV0094,1,0.051,13.8,0.07,1.9,6
CLI00085,Varejo,11,5,7.72,1,0.1093,1,ADV0098,0,0.0,8.0,-0.019,45.3,3
CLI00086,Alta Renda,88,5,19.41,1,0.2668,0,ADV0220,0,0.0,3.1,0.278,32.1,2
CLI00087,Varejo,41,4,11.54,4,0.0217,0,ADV0191,0,0.0,9.4,-0.41,3.5,2
CLI00088,Alta Renda,76,5,21.12,5,0.1692,0,ADV0265,1,0.1692,10.0,0.025,18.2,2
CLI00089,Varejo,121,8,19.6,1,0.0961,0,ADV0142,0,0.0,10.0,0.252,10.1,6
CLI00090,Varejo,46,1,4.03,5,0.9388,0,ADV0037,0,0.0,10.2,-0.022,7.5,11
CLI00091,Alta Renda,80,5,8.75,0,0.0144,0,ADV0215,1,0.0144,44.7,-0.209,7.5,3
CLI00092,Alta Renda,54,2,7.14,4,0.5601,0,ADV0229,1,0.5601,25.6,-0.133,10.1,4
CLI00093,Varejo,86,7,11.3,4,1.0431,0,ADV0168,0,0.0,15.5,-0.086,10.1,5
CLI00094,Alta Renda,92,4,12.29,5,0.0152,0,ADV0232,1,0.0152,12.4,-0.159,13.0,4
CLI00095,Varejo,97,2,12.47,1,0.0177,1,ADV0149,0,0.0,23.1,0.101,26.6,11
CLI00096,Varejo,2,5,15.93,5,1.6848,0,ADV0157,0,0.0,21.4,0.332,8.1,5
CLI00097,Varejo,33,8,17.77,2,0.051,0,ADV0129,0,0.0,12.3,-0.131,19.3,5
CLI00098,Varejo,77,1,15.56,1,9.2376,1,ADV0009,0,0.0,24.0,-0.548,23.1,4
CLI00099,Varejo,116,3,9.14,7,0.0158,0,ADV0033,0,0.0,16.7,0.101,16.0,3
CLI00100,Varejo,103,6,8.22,1,0.2062,0,ADV0011,0,0.0,44.9,-0.038,10.5,5
CLI00101,Varejo,103,7,11.51,3,0.1603,0,ADV0191,0,0.0,11.8,-0.292,9.0,2
CLI00102,Varejo,90,6,13.29,5,0.1261,0,ADV0095,0,0.0,26.8,-0.013,38.6,5
CLI00103,Varejo,122,5,10.73,3,0.3018,0,ADV0153,0,0.0,5.4,-0.022,4.7,3
CLI00104,Wealth,143,7,5.85,0,0.3253,0,ADV0272,0,0.0,8.0,0.215,33.5,6
CLI00105,Varejo,106,7,14.36,3,0.1329,0,ADV0076,1,0.1329,41.3,-0.214,22.8,4
CLI00106,Varejo,119,1,9.85,2,0.0442,1,ADV0122,1,0.0442,25.0,0.031,25.0,6
CLI00107,Alta Renda,49,7,9.73,1,0.6454,0,ADV0226,0,0.0,18.4,-0.022,23.2,1
CLI00108,Varejo,104,4,11.27,2,0.374,0,ADV0069,0,0.0,52.2,-0.244,0.7,4
CLI00109,Varejo,61,2,10.49,8,0.1919,0,ADV0025,0,0.0,12.5,-0.288,7.8,4
CLI00110,Varejo,123,2,9.96,5,0.3589,0,ADV0088,0,0.0,26.7,0.426,6.5,6
CLI00111,Varejo,134,2,6.12,0,0.4492,1,ADV0049,0,0.0,34.7,-0.523,22.8,2
CLI00112,Wealth,9,4,11.03,1,0.0614,0,ADV0279,0,0.0,35.7,0.206,21.1,6
CLI00113,Alta Renda,6,6,14.45,2,0.3426,0,ADV0243,1,0.3426,4.9,-0.376,17.2,3
CLI00114,Varejo,73,1,12.61,2,0.0805,1,ADV0190,0,0.0,19.2,0.317,16.1,2
CLI00115,Alta Renda,103,7,15.48,2,0.4689,1,ADV0260,0,0.0,21.9,0.054,37.6,8
CLI00116,Alta Renda,41,4,8.44,2,0.1287,0,ADV0242,0,0.0,35.4,-0.056,22.1,4
CLI00117,Varejo,114,2,6.13,0,0.3661,0,ADV0058,0,0.0,17.9,-0.067,8.2,4
CLI00118,Wealth,8,5,10.47,8,0.094,1,ADV0267,0,0.0,33.2,-0.059,10.9,1
CLI00119,Varejo,72,3,8.92,3,0.3917,0,ADV0162,0,0.0,4.5,0.149,21.3,5
CLI00120,Alta Renda,92,7,9.36,3,0.0463,0,ADV0243,1,0.0463,10.4,0.04,13.0,4
CLI00121,Wealth,62,4,12.39,3,0.1733,0,ADV0268,0,0.0,31.1,0.002,13.6,0
CLI00122,Varejo,84,8,9.39,2,0.5915,0,ADV0096,0,0.0,11.5,0.123,14.8,1
CLI00123,Varejo,62,4,6.25,4,0.3034,0,ADV0034,0,0.0,13.2,-0.383,2.8,8
CLI00124,Varejo,111,1,9.15,5,0.2122,0,ADV0069,0,0.0,35.0,-0.082,7.9,6
CLI00125,Varejo,127,1,12.93,5,1.724,1,ADV0128,0,0.0,12.4,-0.35,21.2,6
CLI00126,Alta Renda,7,4,14.32,9,0.6255,0,ADV0246,0,0.0,7.9,0.133,7.9,5
CLI00127,Alta Renda,84,2,14.28,3,0.5027,0,ADV0257,0,0.0,4.1,-0.149,11.3,7
CLI00128,Varejo,132,3,13.28,7,0.3888,0,ADV0003,1,0.3888,35.9,-0.346,18.3,4
CLI00129,Varejo,134,7,10.79,2,0.4573,0,ADV0154,0,0.0,25.3,-0.175,25.1,3
CLI00130,Varejo,58,1,13.2,3,1.4251,0,ADV0124,0,0.0,24.9,0.033,27.0,9
CLI00131,Varejo,22,7,11.32,1,0.096,0,ADV0068,1,0.096,10.2,-0.045,27.9,4
CLI00132,Varejo,127,2,11.98,4,0.614,0,ADV0037,0,0.0,3.8,-0.258,12.1,2
CLI00133,Varejo,3,7,7.55,2,0.2627,1,ADV0102,0,0.0,10.8,-0.711,19.7,2
CLI00134,Wealth,127,5,11.68,3,0.1005,0,ADV0283,0,0.0,31.3,0.016,5.2,4
CLI00135,Varejo,41,1,13.09,3,0.1452,1,ADV0098,0,0.0,23.1,-0.319,32.3,3
CLI00136,Varejo,106,2,12.93,3,0.2198,0,ADV0157,0,0.0,21.8,-0.057,10.9,2
CLI00137,Alta Renda,14,2,6.09,2,0.054,0,ADV0212,0,0.0,15.9,-0.035,31.8,6
CLI00138,Varejo,12,3,11.9,4,0.5082,0,ADV0109,0,0.0,7.1,0.095,16.3,2
CLI00139,Corporate,87,3,5.44,2,0.1446,0,ADV0292,1,0.1446,10.6,0.186,25.8,1
CLI00140,Wealth,12,5,12.23,3,0.1846,0,ADV0288,0,0.0,5.7,0.032,12.7,7
CLI00141,Varejo,141,2,8.55,2,0.965,0,ADV0076,1,0.965,5.1,-0.071,19.5,2
CLI00142,Varejo,25,6,18.66,2,0.1957,0,ADV0150,0,0.0,24.0,0.005,26.4,6
CLI00143,Varejo,45,2,12.0,4,1.2442,1,ADV0091,1,1.2442,9.1,-0.32,10.3,2
CLI00144,Varejo,122,3,14.86,4,0.0836,1,ADV0086,0,0.0,9.1,-0.442,28.9,3
CLI00145,Varejo,55,6,20.37,7,0.0397,0,ADV0013,0,0.0,11.0,0.24,5.8,3
CLI00146,Varejo,100,1,8.07,0,0.1134,1,ADV0182,0,0.0,15.3,-0.084,38.6,3
CLI00147,Varejo,136,1,13.33,2,0.0043,0,ADV0151,1,0.0043,4.0,0.437,14.9,9
CLI00148,Varejo,119,7,6.52,1,0.5366,0,ADV0017,0,0.0,17.7,0.502,8.0,13
CLI00149,Varejo,53,4,12.95,4,0.0428,0,ADV0085,0,0.0,15.3,-0.259,22.5,3
CLI00150,Wealth,32,3,18.92,1,0.0741,0,ADV0272,0,0.0,30.9,-0.074,16.8,6
CLI00151,Varejo,51,4,8.86,2,0.4194,0,ADV0073,0,0.0,14.3,0.553,3.0,0
CLI00152,Varejo,44,6,7.78,1,0.193,0,ADV0044,0,0.0,19.0,-0.009,10.1,6
CLI00153,Varejo,82,3,11.12,4,0.0932,0,ADV0147,0,0.0,7.4,0.054,6.1,2
CLI00154,Corporate,37,5,20.09,6,0.0117,0,ADV0296,0,0.0,7.7,-0.335,6.5,4
CLI00155,Varejo,96,2,14.74,0,0.8968,0,ADV0074,0,0.0,4.4,0.033,6.3,3
CLI00156,Alta Renda,56,5,7.7,0,0.4232,1,ADV0203,0,0.0,8.1,0.223,19.3,7
CLI00157,Alta Renda,105,6,17.61,2,2.3927,0,ADV0229,1,2.3927,10.4,0.283,23.6,5
CLI00158,Varejo,59,3,4.55,4,0.0761,1,ADV0073,0,0.0,31.5,-0.311,8.1,3
CLI00159,Alta Renda,131,8,20.47,5,0.025,0,ADV0219,1,0.025,6.6,-0.087,2.2,4
CLI00160,Varejo,35,6,15.1,2,0.6024,0,ADV0110,1,0.6024,46.2,-0.249,1.2,7
CLI00161,Varejo,93,8,18.91,3,0.1294,1,ADV0190,0,0.0,21.0,-0.132,44.2,4
CLI00162,Varejo,97,2,4.58,3,0.374,0,ADV0190,0,0.0,17.4,-0.42,15.0,8
CLI00163,Varejo,135,1,12.21,1,1.3578,0,ADV0162,0,0.0,13.5,-0.019,22.6,2
CLI00164,Varejo,76,1,10.94,5,0.2738,1,ADV0029,0,0.0,16.2,0.003,24.9,5
CLI00165,Alta Renda,49,6,7.27,1,0.2055,0,ADV0250,0,0.0,8.4,0.078,1.8,6
CLI00166,Varejo,94,4,6.06,6,0.2229,0,ADV0097,0,0.0,3.9,0.301,17.7,7
CLI00167,Varejo,24,3,13.63,2,0.0197,0,ADV0058,0,0.0,6.8,0.236,35.5,2
CLI00168,Varejo,37,3,14.01,1,0.698,1,ADV0014,0,0.0,42.6,-0.32,8.4,1
CLI00169,Varejo,4,1,16.96,3,0.7586,1,ADV0177,0,0.0,26.1,-0.901,6.4,2
CLI00170,Alta Renda,108,7,9.39,1,0.3295,0,ADV0204,0,0.0,35.6,-0.159,5.2,5
CLI00171,Varejo,126,5,10.91,4,0.0231,0,ADV0005,0,0.0,8.3,-0.378,23.3,4
CLI00172,Varejo,20,7,5.69,1,0.1412,0,ADV0154,0,0.0,5.6,0.007,16.7,4
CLI00173,Varejo,50,2,17.97,2,1.0726,0,ADV0069,0,0.0,13.4,-0.639,28.1,2
CLI00174,Varejo,96,5,11.79,1,0.0792,0,ADV0194,0,0.0,7.0,0.13,13.5,7
CLI00175,Varejo,105,5,14.53,2,0.7707,0,ADV0054,0,0.0,15.4,0.016,20.9,5
CLI00176,Alta Renda,117,6,14.68,3,0.1776,0,ADV0209,0,0.0,3.1,0.104,9.9,6
CLI00177,Varejo,98,1,17.63,6,0.4174,0,ADV0115,0,0.0,1.8,0.233,5.6,5
CLI00178,Wealth,66,7,8.01,2,0.0967,0,ADV0281,0,0.0,17.0,0.044,20.9,4
CLI00179,Varejo,79,7,14.43,4,0.1845,0,ADV0041,0,0.0,36.5,0.359,23.6,4
CLI00180,Varejo,6,1,11.39,1,0.2916,1,ADV0103,0,0.0,19.8,-0.088,11.6,5
CLI00181,Varejo,39,7,20.34,0,0.0404,1,ADV0034,0,0.0,25.7,-0.426,34.5,5
CLI00182,Wealth,115,8,8.0,1,0.236,0,ADV0277,0,0.0,13.8,-0.052,34.1,4
CLI00183,Alta Renda,125,1,16.42,3,0.005,0,ADV0263,1,0.005,14.8,-0.497,6.4,4
CLI00184,Varejo,12,6,12.97,3,0.0756,0,ADV0078,0,0.0,3.7,-0.198,6.6,5
CLI00185,Alta Renda,131,4,12.75,3,0.3352,0,ADV0199,0,0.0,7.2,-0.084,6.9,7
CLI00186,Alta Renda,18,5,11.73,4,0.7092,0,ADV0245,0,0.0,28.8,0.12,12.3,2
CLI00187,Varejo,40,6,17.16,3,0.3056,0,ADV0166,0,0.0,10.3,-0.165,10.2,5
CLI00188,Varejo,21,3,12.61,4,0.0271,1,ADV0160,0,0.0,34.7,-0.422,5.8,6
CLI00189,Varejo,143,2,5.1,4,0.633,0,ADV0074,0,0.0,14.5,-0.415,7.0,7
CLI00190,Varejo,99,4,16.62,3,0.0376,0,ADV0029,0,0.0,15.0,-0.131,1.8,8
CLI00191,Wealth,26,3,15.85,5,0.3673,0,ADV0269,0,0.0,10.3,0.429,2.2,7
CLI00192,Wealth,8,5,13.97,4,0.0393,0,ADV0269,0,0.0,21.1,0.06,3.8,6
CLI00193,Varejo,100,7,6.76,1,0.0605,0,ADV0190,0,0.0,24.5,0.207,42.0,5
CLI00194,Varejo,87,1,7.41,1,0.0477,0,ADV0102,0,0.0,6.9,-0.198,38.9,4
CLI00195,Varejo,42,5,3.61,1,0.198,0,ADV0106,0,0.0,4.0,-0.346,21.7,10
CLI00196,Alta Renda,14,6,13.43,2,0.1282,0,ADV0219,1,0.1282,2.2,-0.269,8.6,5
CLI00197,Wealth,78,2,5.83,2,0.3203,0,ADV0269,0,0.0,18.6,-0.021,3.7,8
CLI00198,Alta Renda,2,6,4.28,3,0.1613,0,ADV0265,1,0.1613,17.1,-0.439,13.3,2
CLI00199,Alta Renda,119,4,16.85,3,0.023,0,ADV0234,0,0.0,54.4,-0.221,18.0,5
CLI00200,Varejo,37,4,14.73,3,0.2366,0,ADV0193,0,0.0,13.9,-0.129,7.6,2
CLI00201,Varejo,69,2,10.1,3,0.0167,0,ADV0027,0,0.0,12.1,-0.291,17.4,5
CLI00202,Varejo,41,8,10.94,2,0.0524,0,ADV0049,0,0.0,15.8,-0.467,5.2,3
CLI00203,Wealth,62,3,1.39,4,0.103,0,ADV0269,0,0.0,16.4,0.064,8.7,7
CLI00204,Varejo,60,3,15.35,2,0.0941,1,ADV0182,0,0.0,12.0,-0.226,17.4,2
CLI00205,Varejo,125,4,8.59,2,0.0194,0,ADV0003,1,0.0194,7.1,0.171,39.6,4
CLI00206,Varejo,111,4,12.89,4,0.9827,0,ADV0032,0,0.0,13.3,-0.244,6.9,6
CLI00207,Alta Renda,14,7,1.05,3,1.4083,0,ADV0200,0,0.0,13.0,0.167,17.9,2
CLI00208,Varejo,84,1,15.61,4,3.0833,1,ADV0002,0,0.0,15.8,0.099,9.7,5
CLI00209,Varejo,130,7,8.34,2,0.7349,0,ADV0049,0,0.0,22.6,0.058,5.4,3
CLI00210,Varejo,70,7,5.72,4,0.0989,1,ADV0164,0,0.0,13.8,-0.177,16.8,9
CLI00211,Alta Renda,123,8,10.07,3,0.0967,0,ADV0209,0,0.0,4.1,0.032,13.6,3
CLI00212,Alta Renda,89,3,9.0,2,0.09,0,ADV0196,0,0.0,8.1,-0.145,36.3,5
CLI00213,Varejo,28,8,16.01,5,2.1844,0,ADV0068,1,2.1844,11.4,-0.181,8.4,4
CLI00214,Alta Renda,66,8,9.73,2,0.1422,0,ADV0215,1,0.1422,13.6,0.15,23.7,4
CLI00215,Varejo,5,2,17.22,1,0.8607,0,ADV0073,0,0.0,18.8,-0.031,40.8,7
CLI00216,Varejo,45,3,12.89,2,0.7779,0,ADV0098,0,0.0,13.7,0.265,16.0,2
CLI00217,Alta Renda,47,1,15.26,2,0.2115,0,ADV0224,0,0.0,1.8,-0.097,26.5,6
CLI00218,Varejo,31,6,11.49,6,0.025,0,ADV0195,0,0.0,4.6,-0.075,7.2,7
CLI00219,Alta Renda,139,4,16.84,2,0.1463,1,ADV0254,0,0.0,24.9,-0.236,30.7,10
CLI00220,Alta Renda,10,4,6.65,3,0.2001,0,ADV0198,0,0.0,11.1,-0.246,20.7,7
CLI00221,Varejo,118,1,11.98,3,0.8705,0,ADV0170,0,0.0,14.5,0.179,4.4,6
CLI00222,Varejo,14,8,9.83,4,0.1695,0,ADV0030,0,0.0,10.1,0.481,6.7,3
CLI00223,Varejo,80,7,17.37,2,0.0343,1,ADV0110,1,0.0343,11.1,-0.479,17.4,5
CLI00224,Varejo,93,2,17.8,2,0.5971,0,ADV0080,0,0.0,10.4,-0.15,7.7,4
CLI00225,Varejo,10,8,11.5,3,0.123,1,ADV0074,0,0.0,21.5,-0.003,12.8,2
CLI00226,Corporate,76,4,6.08,4,0.006,0,ADV0293,0,0.0,13.1,-0.15,3.8,3
CLI00227,Varejo,94,5,13.29,4,0.2522,0,ADV0117,0,0.0,24.4,0.363,38.4,8
CLI00228,Wealth,105,7,4.51,6,0.317,0,ADV0267,0,0.0,3.4,-0.158,25.3,4
CLI00229,Varejo,1,4,18.33,1,0.0553,1,ADV0189,0,0.0,4.7,-0.374,91.7,3
CLI00230,Alta Renda,133,5,9.51,3,0.1288,0,ADV0239,1,0.1288,11.0,-0.273,4.8,9
CLI00231,Varejo,20,8,11.37,1,0.3887,0,ADV0151,1,0.3887,19.0,0.065,18.1,8
CLI00232,Varejo,8,1,8.64,3,0.2544,1,ADV0173,0,0.0,29.0,-0.584,10.2,4
CLI00233,Varejo,1,1,7.71,3,0.0217,0,ADV0148,0,0.0,8.3,-0.25,5.4,2
CLI00234,Varejo,57,7,14.6,3,0.8433,0,ADV0062,1,0.8433,0.7,-0.196,24.4,5
CLI00235,Alta Renda,64,4,10.83,1,1.5193,1,ADV0217,0,0.0,12.7,0.32,15.5,4
CLI00236,Varejo,118,3,11.68,1,0.0852,0,ADV0085,0,0.0,17.2,0.007,10.3,5
CLI00237,Varejo,28,5,7.28,2,0.0138,0,ADV0008,0,0.0,12.9,0.022,16.3,6
CLI00238,Varejo,121,2,15.1,2,0.4504,0,ADV0194,0,0.0,19.4,0.023,6.9,2
CLI00239,Varejo,107,4,15.52,2,0.0689,0,ADV0055,0,0.0,28.2,0.307,6.7,0
CLI00240,Wealth,49,2,10.62,3,0.3316,0,ADV0282,0,0.0,11.6,-0.23,8.0,2
CLI00241,Wealth,120,4,16.83,0,2.8945,0,ADV0285,0,0.0,9.3,-0.087,27.5,3
CLI00242,Wealth,44,3,11.06,0,0.0221,0,ADV0274,0,0.0,6.3,-0.037,26.1,2
CLI00243,Varejo,56,3,14.77,3,0.0587,1,ADV0111,0,0.0,15.2,-0.742,9.5,2
CLI00244,Varejo,111,7,4.68,2,0.1284,0,ADV0005,0,0.0,2.9,-0.202,37.3,5
CLI00245,Wealth,134,7,12.98,5,0.8862,0,ADV0278,0,0.0,7.7,0.23,13.1,9
CLI00246,Varejo,108,3,10.36,4,16.8155,0,ADV0129,0,0.0,25.7,0.167,17.9,2
CLI00247,Wealth,114,6,12.15,1,0.2279,0,ADV0290,0,0.0,20.7,0.206,7.8,3
CLI00248,Wealth,78,3,11.96,3,0.0198,0,ADV0288,0,0.0,8.9,-0.13,13.6,7
